model_size,strategy,num_devices,total_tokens,total_time_sec,throughput_tokens_sec,avg_gpu_mem_mb,total_gpu_mem_mb,peak_gpu_mem_mb,avg_gpu_util_percent,relative_runtime_overhead_percent,ideal_scaling_throughput,throughput_scaling_factor,throughput_efficiency_percent,memory_scaling_factor,total_memory_scaling_factor,peak_memory_scaling_factor
zero-500m,simple_zero_stage1,2,3273600,44.77571864705533,73111.05435971128,4643.592541503906,9287.185083007813,9147.142578125,95.97,-80.85773396185358,27990.225057659547,5.224041908137812,261.2020954068906,1.1492199452250713,2.2984398904501426,0.2512335670241771
zero-500m,simple_zero_stage1,4,3273600,44.777786958031356,73107.6773192974,3232.4738452148435,12929.895380859374,5616.88037109375,95.9825,-80.85684972905624,55980.450115319094,5.223800606725842,130.59501516814603,0.7999890994174457,3.1999563976697827,0.15427209963389754
zero-500m,simple_zero_stage1,2,3273600,128.88358199829236,25399.66649936354,4735.396103515625,9470.79220703125,21681.01953125,99.02250000000001,-44.90040832157989,27990.225057659547,1.8148954820506453,90.74477410253226,1.171939958568965,2.34387991713793,0.5954864950485256
zero-500m,simple_zero_stage1,4,3273600,81.55194492591545,40141.28667285433,3287.570480957031,13150.281923828124,11906.9296875,98.59375,-65.13536638003681,55980.450115319094,2.8682360781425467,71.70590195356367,0.8136246955951447,3.254498782380579,0.32703332129648327
zero-100m,simple_zero_stage2,2,1635200,16.532938888296485,98905.58545265917,844.3506616210938,1688.7013232421875,1549.33056640625,66.2375,-37.268588454689734,124089.7397032123,1.5940977181387193,79.70488590693596,0.934785923269015,1.86957184653803,0.32842848046132345
zero-100m,simple_zero_stage2,4,1635200,24.293340298347175,67310.62834167983,526.5295581054687,2106.118232421875,980.62548828125,77.29125,-7.8230713630302535,248179.4794064246,1.0848701673912426,27.121754184781068,0.5829241824209296,2.3316967296837183,0.2078738688831919
zero-100m,simple_zero_stage2,2,1635200,21.280722927767783,76839.49485881129,890.7754663085938,1781.5509326171875,3007.4560546875,94.6825,-19.253933194627994,124089.7397032123,1.238450415684483,61.922520784224155,0.9861831162659017,1.9723662325318034,0.6375232268129335
zero-100m,simple_zero_stage2,4,1635200,21.043956740759313,77704.01831480852,549.809482421875,2199.2379296875,1710.6865234375,90.21125,-20.152302033803725,248179.4794064246,1.2523842583706701,31.309606459266753,0.6086975329195999,2.4347901316783997,0.36263286068218104
zero-10m,simple_zero_stage2,2,406400,9.935792386997491,40902.625998087155,143.09056396484374,286.1811279296875,573.294921875,21.9225,43.45797156925657,117356.15515083044,0.697068269585308,34.8534134792654,0.5786165127043129,1.1572330254086258,0.9296860895647189
zero-10m,simple_zero_stage2,4,406400,11.580369567032903,35093.8713697828,101.37541748046876,405.501669921875,529.0751953125,41.65625,67.20320467675546,234712.31030166088,0.5980746612681519,14.951866531703798,0.4099326252631471,1.6397305010525884,0.8579769864471521
zero-10m,simple_zero_stage2,2,406400,9.72388549335301,41793.992769434015,168.21019287109374,336.4203857421875,680.94287109375,35.3375,40.39835317751539,117356.15515083044,0.7122590666969081,35.61295333484541,0.6801929666326927,1.3603859332653854,1.1042538332166714
zero-10m,simple_zero_stage2,4,406400,11.482373282313347,35393.37992312011,113.31975341796876,453.279013671875,565.1025390625,39.527499999999996,65.78828499248466,234712.31030166088,0.603178927899116,15.079473197477899,0.4582320365955609,1.8329281463822436,0.9164008779736924
zero-1b,simple_zero_stage2,2,1635200,101.39986971858889,16126.253461055787,8702.593811035156,17405.187622070312,12914.7138671875,98.805,-47.37015748194876,16974.443601230898,1.900062687166535,95.00313435832675,1.0718203858199562,2.1436407716399124,0.45852886022110834
zero-1b,simple_zero_stage2,4,1635200,189.49171936698258,8629.400827975815,5362.104150390625,21448.4166015625,7555.45263671875,99.72375000000001,-1.6476118121600325,33948.887202461796,1.0167521281640188,25.41880320410047,0.6604022506474825,2.64160900258993,0.26825163310595856
zero-1b,simple_zero_stage2,2,1635200,163.83946014521644,9980.501635873721,8749.423889160156,17498.847778320312,20961.86083984375,99.60749999999999,-14.9619717499054,16974.443601230898,1.1759444810491446,58.79722405245723,1.077588026306666,2.155176052613332,0.7442377940271168
zero-1b,simple_zero_stage2,4,1635200,173.12863636901602,9445.000170362595,5386.756494140625,21547.0259765625,11588.16357421875,99.7475,-10.14058605051752,33948.887202461796,1.1128494567772098,27.821236419430246,0.6634384586060782,2.653753834424313,0.41143051951327797
zero-300m,simple_zero_stage2,2,3273600,47.18953260499984,69371.31646125171,2701.7330737304687,5403.4661474609375,6317.75439453125,98.1375,-73.15356566856504,37247.449837243745,3.7248894495798366,186.24447247899184,0.9974733355514512,1.9949466711029025,0.21977389046106624
