model_size,strategy,num_devices,total_tokens,total_time_sec,throughput_tokens_sec,avg_gpu_mem_mb,total_gpu_mem_mb,peak_gpu_mem_mb,avg_gpu_util_percent,relative_runtime_overhead_percent,ideal_scaling_throughput,throughput_scaling_factor,throughput_efficiency_percent,memory_scaling_factor,total_memory_scaling_factor,peak_memory_scaling_factor
10m,single_gpu,1,406400,4.34840545617044,93459.54605574177,225.28068359375,225.28068359375,503.830078125,56.785,0.0,93459.54605574177,1.0,100.0,1.0,1.0,1.0
1b,single_gpu,1,818400,151.96004930138588,5385.626049494419,10209.69775390625,10209.69775390625,33084.3828125,99.815,0.0,5385.626049494419,1.0,100.0,1.0,1.0,1.0
300m,single_gpu,1,1636800,116.90225432440639,14001.440857229692,3324.56314453125,3324.56314453125,25029.2744140625,100.0,0.0,14001.440857229692,1.0,100.0,1.0,1.0,1.0
500m,single_gpu,1,1636800,150.71407687477767,10860.299408926161,5098.09349609375,5098.09349609375,31937.7001953125,100.0,0.0,10860.299408926161,1.0,100.0,1.0,1.0,1.0
100m,tensor_parallel,2,1635200,33.7663766220212,48426.872042100666,636.46849609375,1272.9369921875,3789.9541015625,94.0325,6.710342425616411,103352.96196428144,0.9371162881396062,46.855814406980315,0.5902807455626718,1.1805614911253437,0.5719096330102853
100m,tensor_parallel,4,1635200,187.6531054675579,8713.951180960865,439.21732421875,1756.869296875,2385.1630859375,99.95124999999999,493.03156408597744,206705.92392856287,0.16862508853829244,4.215627213457311,0.40734385314445637,1.6293754125778255,0.3599246082124881
10m,tensor_parallel,2,406400,5.053178895264864,80424.62149535642,140.45830078125,280.9166015625,312.990234375,72.27,16.20762935283191,186919.09211148354,0.8605286981320135,43.02643490660068,0.6234813324454362,1.2469626648908725,0.621221812599579
10m,tensor_parallel,4,406400,15.860648592934012,25623.163997281485,100.43451171875,401.738046875,213.021484375,93.37875,264.7463133969616,373838.1842229671,0.27416315484775783,6.854078871193946,0.44581945560793906,1.7832778224317563,0.4228042223436876
1b,tensor_parallel,2,818400,134.81783775053918,6070.413334430791,6157.65291015625,12315.3058203125,18671.9716796875,99.99000000000001,-11.280735712876844,10771.252098988838,1.1271509159089605,56.357545795448026,0.6031180411584975,1.206236082316995,0.5643741878307859
1b,tensor_parallel,4,818400,565.2501436136663,1447.85456358832,4198.42400390625,16793.696015625,11530.31005859375,99.95875000000001,271.9728614279353,21542.504197977676,0.26883681679388766,6.720920419847191,0.41121922559362,1.64487690237448,0.3485121703475559
300m,tensor_parallel,2,1636800,94.49651380628347,17321.27391869098,1992.86314453125,3985.7262890625,13822.9775390625,99.98,-19.16621766415768,28002.881714459385,1.2371065303430595,61.855326517152974,0.599436093674267,1.198872187348534,0.5522724035218604
300m,tensor_parallel,4,1636800,461.0131776984781,3550.440809894887,1343.62064453125,5374.482578125,8235.6064453125,99.96000000000001,294.3578165902226,56005.76342891877,0.25357681727888776,6.339420431972194,0.40414953367375284,1.6165981346950113,0.32903896090113544
500m,tensor_parallel,2,1636800,116.02133388444781,14107.75023178221,3027.88271484375,6055.7654296875,17676.5947265625,100.0,-23.01891350146057,21720.598817852322,1.2990203769324211,64.95101884662105,0.5939245165204929,1.1878490330409859,0.5534711209154909
500m,tensor_parallel,4,1636800,569.1027593109757,2876.1062448224766,2015.25755859375,8061.030234375,10568.8876953125,99.92,277.60424979003153,43441.197635704644,0.26482752790945924,6.620688197736481,0.3952963122661199,1.5811852490644795,0.3309220022318231
